word,count
blowing,4
protected,4
risen,4
ὄ,4
surprised,4
compassion,4
although,4
dismayed,4
hurry,4
grieved,4
bargain,4
comrade,4
chamber,4
spray,4
bidden,4
corner,4
orion,4
pleases,4
ortygia,4
favognana,4
lightning,4
kills,4
guide,4
expected,4
girdle,4
fertile,4
messenger,4
clad,4
advise,4
hill,4
sank,4
calm,4
prey,4
beheld,4
shows,4
harbours,4
holy,4
dine,4
headlands,4
tops,4
landing,4
tattered,4
succeed,4
haven,4
treasures,4
fulfilled,4
penelope’s,4
enemy,4
wagged,4
permit,4
peoples,4
vain,4
sweetly,4
raising,4
terrific,4
thong,4
plight,4
pheidon,4
thesprotian,4
phoenician,4
alarm,4
arceisius,4
happens,4
shepherds,4
stroke,4
heifer’s,4
sorrowing,4
deer,4
disgraceful,4
allusion,4
finer,4
“a,4
anyone,4
upright,4
goddesses,4
hurled,4
one’s,4
starving,4
aim,4
box,4
eurytus,4
propriety,4
‘as,4
‘be,4
talents,4
harder,4
comfort,4
weak,4
imposing,4
inhabitants,4
surpass,4
site,4
stag,4
cable,4
thousands,4
dived,4
named,4
reconnoitre,4
shepherd,4
stately,4
seventh,4
sadly,4
prodigious,4
enter,4
sack,4
showing,4
intending,4
names,4
lions,4
vessels,4
horrid,4
boon,4
pork,4
shepherding,4
appears,4
“how,4
humour,4
assumed,4
brawny,4
defence,4
wooden,4
“all,4
eaters,4
argive,4
unharmed,4
“thence,4
inclined,4
priest,4
lean,4
coverlets,4
regard,4
self,4
dishonouring,4
167,4
laughter,4
bond,4
wasted,4
ending,4
bonds,4
“wife,4
entertain,4
fearing,4
cavern,4
torch,4
domed,4
amiss,4
load,4
mouths,4
cheese,4
helmets,4
eteoneus,4
state,4
mocking,4
echoing,4
remains,4
fame,4
dwells,4
prepared,4
watch,4
chariots,4
poplars,4
uncle,4
chosen,4
steadily,4
rude,4
drowned,4
misadventure,4
feeble,4
appear,4
snow,4
language,4
hospitable,4
bears,4
presume,4
wonder,4
uncivilised,4
